"ChannelID","ChannelName"
"epg-usa-american-heroes-e9fdbe10","USA American Heroes*"
"epg-usa-ahc-8598d6d4","USA AHC"
"epg-usa-cbs-13-wmaz-georgia-f69afbd9","USA CBS 13 (WMAZ) Georgia"
"epg-usa-real-america-s-voice-949c8cce","USA Real America's Voice"
"americatv.ar","ARG: AMERICA"
"amgtv.us","USA AMG TV"
"amitele.ca","CA AMI-TELE FR"
"AMITV.ca","AL: TV MITROVICA"
"amitv.ca","CA AMI TELEVISION"
"AndinaTV.pe","IR: Andisheh TV"
"epg-usa-travel-6e54dccb","USA Travel"
"epg-la-univisionnow-univision-wgbo-66-chicago-f099c30e","LA: UnivisionNow Univision WGBO (66-Chicago)"
"epg-match-centre-1-9c9c2e0e","Match Centre #1"
"epg-match-centre-2-e4229fc0","Match Centre #2"
"epg-match-centre-3-129058c9","Match Centre #3"
"epg-match-centre-4-1c98a9d4","Match Centre #4"
"epg-match-centre-5-4cfd4584","Match Centre #5"
"epg-match-centre-6-304bdeb0","Match Centre #6"
"epg-match-centre-7-a5668b45","Match Centre #7"
"epg-match-centre-8-9f65ad96","Match Centre #8"
"epg-match-centre-9-a754e985","Match Centre #9"
"epg-match-centre-10-f899b1e1","Match Centre #10"
"epg-match-centre-11-03b1887e","Match Centre #11"
"epg-match-centre-12-7b62935d","Match Centre #12"
"epg-match-centre-13-ec5a4e56","Match Centre #13"
"epg-match-centre-14-1b6168e5","Match Centre #14"
"epg-match-centre-15-7d1aca22","Match Centre #15"
"epg-match-centre-16-5dcaf1a8","Match Centre #16"
"epg-match-centre-17-4ce07dde","Match Centre #17"
"epg-match-centre-18-9dd1a189","Match Centre #18"
"epg-match-centre-19-869ddf86","Match Centre #19"
"epg-match-centre-20-8f4a3148","Match Centre #20"
"epg-match-centre-21-5ecb9139","Match Centre #21"
"epg-match-centre-22-0fc9ff03","Match Centre #22"
"epg-match-centre-23-1fd18075","Match Centre #23"
"epg-match-centre-24-b352367c","Match Centre #24"
"epg-match-centre-25-474d5414","Match Centre #25"
"epg-match-centre-26-4600b37d","Match Centre #26"
"epg-match-centre-27-5f78f9e8","Match Centre #27"
"epg-match-centre-28-885c8b49","Match Centre #28"
"epg-match-centre-29-39f63e87","Match Centre #29"
"epg-match-centre-30-6c4add7b","Match Centre #30"
"epg-match-centre-31-2b36322b","Match Centre #31"
"epg-match-centre-32-a4061b9d","Match Centre #32"
"epg-match-centre-33-a7694d32","Match Centre #33"
"epg-match-centre-34-265ef9c4","Match Centre #34"
"epg-match-centre-35-4275d608","Match Centre #35"
"epg-match-centre-36-88fa4577","Match Centre #36"
"epg-match-centre-37-c970407a","Match Centre #37"
"epg-match-centre-38-6102fac5","Match Centre #38"
"epg-match-centre-39-43fdc3a9","Match Centre #39"
"epg-match-centre-40-9cece5dd","Match Centre #40"
"epg-au-7flix-brisbane-915da972","AU 7flix Brisbane"
"epg-au-7flix-sydney-074b2c4e","AU 7flix Sydney"
"epg-au-7mate-brisbane-5811117c","AU 7mate Brisbane"
"epg-au-7mate-perth-498cd1f4","AU 7mate Perth"
"epg-au-7mate-sydney-1dc303cb","AU 7mate Sydney"
"epg-au-7two-sydney-4c1496c2","AU 7Two Sydney"
"epg-au-9gem-adelaide-d4791c27","AU 9Gem Adelaide"
"epg-au-9gem-brisbane-094793ce","AU 9Gem Brisbane"
"epg-au-9gem-melbourne-70933781","AU 9Gem Melbourne"
"epg-au-9gem-sydney-eb1c2bd2","AU 9Gem Sydney"
"epg-au-9go-brisbane-ae0d78dd","AU 9Go! Brisbane"
"epg-au-9go-melbourne-1a3a7e0d","AU 9Go! Melbourne"
"epg-au-9go-perth-d7f228f5","AU 9Go! Perth"
"epg-au-9go-sydney-c832da4b","AU 9Go! Sydney"
"epg-au-9go-adelaide-85bfcae1","AU 9Go_ Adelaide"
"epg-au-9life-adelaide-6b799fb1","AU 9Life Adelaide"
"epg-au-9life-sydney-e790a2cb","AU 9Life Sydney"
"epg-au-abc-perth-120411ad","AU ABC Perth"
"epg-au-channel-9-perth-c9af52e2","AU Channel_9 Perth"
"epg-au-sbs-perth-ef5123cb","AU SBS Perth"
"epg-au-seven-sydney-c8bffea2","AU Seven Sydney"
"epg-au-ten-sydney-cddfb837","AU Ten Sydney"
"epg-au-ten-adelaide-53056578","AU TEN Adelaide"
"epg-au-ten-melbourne-34849cf2","AU Ten Melbourne"
"epg-la-unimas-miami-887da2e6","LA: Unimas Miami"
